BROKERTITLE,TYPE,PRICE,BEDS,BATH,ADDRESS,STATE,LOCALITY,SUBLOCALITY,STREET_NAME
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,315000,2,2,2 E 55th St Unit 803,"New York, NY 10022",New York,Manhattan,East 55th Street
Brokered by Serhant,Condo for sale,195000000,7,10,Central Park Tower Penthouse-217 W 57th New York St Unit Penthouse,"New York, NY 10019",New York,New York County,New York
Brokered by Sowae Corp,House for sale,260000,4,2,620 Sinclair Ave,"Staten Island, NY 10312",New York,Richmond County,Staten Island
Brokered by COMPASS,Condo for sale,69000,3,1,2 E 55th St Unit 908W33,"Manhattan, NY 10022",New York,New York County,New York
Brokered by Sowae Corp,House for sale,690000,5,2,584 Park Pl,"Brooklyn, NY 11238",New York,Kings County,Brooklyn
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,899500,2,2,157 W 126th St Unit 1B,"New York, NY 10027",New York County,New York,Manhattan
Brokered by Connie Profaci Realty,House for sale,16800000,8,16,177 Benedict Rd,"Staten Island, NY 10304",New York,Richmond County,Staten Island
Brokered by Pantiga Group Inc.,Co-op for sale,265000,1,1,875 Morrison Ave Apt 3M,"Bronx, NY 10473",The Bronx,East Bronx,Morrison Avenue
Brokered by CENTURY 21 MK Realty,Co-op for sale,440000,2,1,1350 Ocean Pkwy Apt 5G,"Brooklyn, NY 11230",Kings County,Brooklyn,Midwood
Brokered by Engel & Volkers Americas,Co-op for sale,375000,2,1,800 Grand Concourse Apt 2JS,"Bronx, NY 10451",Bronx County,The Bronx,Concourse Village
Brokered by COMPASS,Co-op for sale,259000,3,1,34-41 85th St Unit 1D,"Jackson Heights, NY 11372",Queens County,Queens,Flushing
Brokered by Jamie & Connie Real Estate Grp,Co-op for sale,430000,2,2,91-15 Lamont Ave Unit 6D,"Elmhurst, NY 11373",Queens County,Queens,Elmhurst
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,895000,3,1,61 Jane St Apt 6N,"New York, NY 10014",New York County,New York,Manhattan
Brokered by Awaye Realty,Condo for sale,549000,2,2,4654 Amboy Rd Unit 2B,"Staten Island, NY 10312",Richmond County,Staten Island,Annadale
